UTILITY,LOAD_ZONE,ESCO,OFFER_ID,COMMODITY,OFFER_TYPE,IS_ACTIVE,RATE,RENEWABLE_ENERGY_OFFER,MINIMUM_TERM,IS_CANCELLATION_FEE,CANCELLATION_FEE,CREATED_DATE,UPDATED_DATE,COMMENTS,IS_GUARANTEED_SAVING,PERCENTAGE_RENEWABLE,ENERGY_SOURCE,IS_EDPCOMPLIANT,VALUE_ADDED,
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Abest Green Power","351033","ELECTRIC","Variable","Yes",".1999 kWh","Yes","1 Month(s)","No","null","02/07/2022 02:59:10 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","All American Power and Gas, LLC.","350815","ELECTRIC","Variable","Yes",".27999 kWh","Yes","1 Month(s)","No","null","02/03/2022 02:00:59 PM","null","All American Power &amp; Gas, LLC offers 100% Renewable Energy.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Ambit New York, LLC","351079","ELECTRIC","Variable","Yes",".2155 kWh","No","1 Month(s)","No","null","02/08/2022 11:02:50 AM","null","Ambit&#39;s Guaranteed Savings Plan (GSP) provides a 1% annual savings compared to what the incumbent utility would have charged if you were a full-service customer for the same period. After 12 consecutive months on the GSP, you&#39;ll either save with Ambit or we&#39;ll mail a check for the difference. 
","YES","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","American Power & Gas, LLC","350782","ELECTRIC","Variable","Yes",".0959 kWh","Yes","48 Month(s)","No","null","02/03/2022 09:47:15 AM","null","Introductory rate with a variable rate thereafter plus 25% Guaranteed Rebate on average monthly supply charges after 12 months. ","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Chief Energy Power, LLC","351026","ELECTRIC","Fixed","Yes",".1336 kWh","Yes","12 Month(s)","Yes","Calculated upon Cancellation.","02/07/2022 01:33:53 PM","null","50% Renewable above CES Standard.","NO","0.521","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351188","ELECTRIC","Fixed","Yes",".1315 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:06:50 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351189","ELECTRIC","Fixed","Yes",".1311 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:07:01 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351190","ELECTRIC","Fixed","Yes",".1304 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:07:11 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351191","ELECTRIC","Fixed","Yes",".1302 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:07:23 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351232","ELECTRIC","Fixed","Yes",".125 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:18:15 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351233","ELECTRIC","Fixed","Yes",".1246 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:18:28 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351234","ELECTRIC","Fixed","Yes",".1239 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:18:41 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","City Power & Gas, LLC","351235","ELECTRIC","Fixed","Yes",".1237 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:18:54 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","CleanChoice Energy","350771","ELECTRIC","Fixed","Yes",".146 kWh","Yes","24 Month(s)","No","null","02/02/2022 04:31:51 PM","null","Choose 100% clean, pollution-free wind &amp; solar with CleanChoice Energy today. Sign up online at mycleanchoice.com/ny24 or call 1-800-260-0184.","NO","1","Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Clearview Energy","350875","ELECTRIC","Variable","Yes",".1089 kWh","Yes","1 Month(s)","No","null","02/04/2022 01:13:16 PM","null","GreenValueAssurance6
100% Green Product
Rate Type: Variable
Variable Month to Month contract with a promotional rate that will not increase for the 6-month term of the promotion.

Cancellation Fee: $0.00
","NO","1","Hydroelectric","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Consolidated Edison Company of New York, Inc.","350404","ELECTRIC","Variable","Yes",".0679 kWh","No","0 ","No","null","01/31/2022 04:45:18 PM","null","The Listed commodity price is the NYC Average for December 2021, not January 2022. Con Edison&#39;s commodity price for electric is available at a one month lag due to day-ahead pricing. For more information visit our Supply Charge section at http://www.conEd.com/rates/supply_charges.asp","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Constellation NewEnergy, Inc.","350576","ELECTRIC","Fixed","Yes",".1014 kWh","No","12 Month(s)","Yes","100","02/01/2022 03:47:17 PM","null","null","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Great American Gas & Electric, LLC","351009","ELECTRIC","Fixed","Yes",".12028 kWh","Yes","12 Month(s)","Yes","100","02/07/2022 01:26:00 PM","null","null","NO","0.5","Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Just Energy","351065","ELECTRIC","Fixed","Yes",".1039 kWh","Yes","24 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","02/08/2022 04:24:34 AM","null","null","NO","1","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Just Energy","351072","ELECTRIC","Fixed","Yes",".1029 kWh","Yes","36 Month(s)","Yes","$50.00 Cancellation Fee if you called the utility- it will be waived if you called Just Energy","02/08/2022 04:29:09 AM","null","null","NO","1","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Marathon Energy","350924","ELECTRIC","Fixed","Yes",".12 kWh","Yes","6 Month(s)","Yes","CALCULATED UPON CANCELLATION","02/07/2022 11:20:18 AM","null","$0.1200 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Marathon Energy","350927","ELECTRIC","Fixed","Yes",".1293 kWh","Yes","12 Month(s)","Yes","
CALCULATED UPON CANCELLATION
","02/07/2022 11:21:02 AM","null","$0.1293 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Marathon Energy","350930","ELECTRIC","Fixed","Yes",".1283 kWh","Yes","24 Month(s)","Yes","
CALCULATED UPON CANCELLATION
","02/07/2022 11:21:38 AM","null","$0.1283 Is FIXED RATE FOR FEBRUARY 2022. TERMINATION FEES APPLY. CALL 1-888-779-7255.
","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Mpower Energy, LLC","349031","ELECTRIC","Fixed","Yes",".115 kWh","Yes","12 Month(s)","No","null","01/06/2022 10:20:06 AM","null"," 100% renewable energy credits, to sustain a safe, healthy and clean environment. For commercial pricing please contact PriceRequests@MPowerEnergy.com or call 877-286-7693","NO","1","Hydroelectric,Wind","YES","YES",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","New York Gas & Electric","350437","ELECTRIC","Variable","Yes",".1229 kWh","No","0 Month(s)","No","null","02/01/2022 03:38:24 AM","null","Power Flex Home Protect lets you stay flexible with a monthly electricity rate and rest easy with an included service plan - which covers the repair and/or replacement of covered parts of your HVAC and your home&#39;s internal electrical lines.","NO","0","null","YES","YES",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","New York Gas & Electric","350438","ELECTRIC","Fixed","Yes",".0999 kWh","No","12 Month(s)","Yes","100","02/01/2022 03:38:53 AM","null","Get a price-protected rate for the next 12 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","New York Gas & Electric","350439","ELECTRIC","Fixed","Yes",".1009 kWh","No","24 Month(s)","Yes","200","02/01/2022 03:39:22 AM","null","Get a price-protected rate for the next 24 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","New York Gas & Electric","350440","ELECTRIC","Fixed","Yes",".1009 kWh","No","36 Month(s)","Yes","200","02/01/2022 03:39:50 AM","null","Get a price-protected rate for the next 36 months from a trusted energy supplier.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351276","ELECTRIC","Fixed","Yes",".1315 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:39:27 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351277","ELECTRIC","Fixed","Yes",".1311 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:39:37 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351278","ELECTRIC","Fixed","Yes",".1304 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:39:48 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351279","ELECTRIC","Fixed","Yes",".1302 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:40:39 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351309","ELECTRIC","Fixed","Yes",".125 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:47:28 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351310","ELECTRIC","Fixed","Yes",".1246 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:47:40 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351311","ELECTRIC","Fixed","Yes",".1239 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:47:50 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pay Less Energy, LLC","351312","ELECTRIC","Fixed","Yes",".1237 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:48:00 PM","null","null","NO","0.6","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Power Up Energy, LLC","350819","ELECTRIC","Variable","Yes",".26999 kWh","Yes","1 Month(s)","No","null","02/03/2022 02:06:30 PM","null","Power Up Energy, LLC offers 100% renewable energy.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Public Power, LLC","350422","ELECTRIC","Fixed","Yes",".0999 kWh","No","12 Month(s)","Yes","100","02/01/2022 03:28:31 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 12 months.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Public Power, LLC","350423","ELECTRIC","Fixed","Yes",".0999 kWh","No","24 Month(s)","Yes","100","02/01/2022 03:29:02 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 24 months.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Public Power, LLC","350424","ELECTRIC","Fixed","Yes",".1009 kWh","No","36 Month(s)","Yes","150","02/01/2022 03:29:34 AM","null","With a fixed rate from Public Power, you&#39;ll get the peace of mind knowing your rate is fixed for 36 months.","NO","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Pure Energy","350810","ELECTRIC","Variable","Yes",".29999 kWh","Yes","1 Month(s)","No","null","02/03/2022 01:56:32 PM","null","Pure Energy USA, LLC offers 100% Renewable Energy.","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Quantum Power Corp.","350985","ELECTRIC","Variable","Yes",".119 kWh","No","1 Month(s)","No","null","02/07/2022 12:19:51 PM","null","null","YES","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Sirrius Energy LLC","349834","ELECTRIC","Variable","Yes",".20999 kWh","Yes","0 Month(s)","No","null","01/15/2022 09:17:18 AM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Smart Energy Holdings, LLC","350839","ELECTRIC","Fixed","Yes",".148 kWh","Yes","36 Month(s)","No","null","02/03/2022 03:05:47 PM","null","null","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","Source Power Company","350387","ELECTRIC","Variable","Yes",".1499 kWh","No","1 Month(s)","No","null","01/31/2022 12:09:54 PM","null","null","YES","0","null","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","XOOM Energy New York, LLC","350583","ELECTRIC","Variable","Yes",".1649 kWh","Yes","1 Month(s)","No","null","02/01/2022 03:57:30 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Consolidated Edison Company of New York, Inc.","ConEd in Zone J","XOOM Energy New York, LLC","350584","ELECTRIC","Fixed","Yes",".1299 kWh","Yes","24 Month(s)","No","null","02/01/2022 03:58:29 PM","null","This product contains at least 50% renewable energy from sources eligible under New York law, specifically in-state wind and/or in-state hydropower (unless specified differently in your Welcome Confirmation and subject to market availability).","NO","0.5","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Abest Green Power","351032","ELECTRIC","Variable","Yes",".1999 kWh","Yes","1 Month(s)","No","null","02/07/2022 02:58:56 PM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Agway Energy Services, LLC.","350941","ELECTRIC","Variable","Yes",".14 kWh","No","1 Month(s)","No","null","02/07/2022 11:26:06 AM","null","To help you make the most informed decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage provides Peace of Mind repair protection on your home&#39;s primary a/c unit and interior electric lines. ","NO","0","null","YES","YES",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Agway Energy Services, LLC.","350944","ELECTRIC","Variable","Yes",".14 kWh","Yes","1 Month(s)","No","null","02/07/2022 11:26:40 AM","null","To help you make your decision, this rate reflects our current variable rate and includes our EnergyGuard repair program. This valuable included coverage gives Peace of Mind repair protection on your home&#39;s primary a/c unit &amp; interior electric lines. GreenChoice supports cleaner renewable resources.","NO","1","Hydroelectric","YES","YES",
"Niagara Mohawk Power Corporation","NGRID in All Zones","All Choice Energy, LLC","350472","ELECTRIC","Variable","Yes",".096 kWh","Yes","1 Month(s)","No","null","02/01/2022 09:27:37 AM","null","null","NO","0.53","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","American Power & Gas, LLC","349577","ELECTRIC","Fixed","Yes",".075 kWh","Yes","12 Month(s)","Yes","$75 per account","01/14/2022 11:10:40 AM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Solar,Tidal - Ocean,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Atlantic Energy, LLC","350493","ELECTRIC","Fixed","Yes",".139 kWh","Yes","12 Month(s)","Yes","$100","02/01/2022 10:23:10 AM","null","null","NO","0.52","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Brown's Energy Services, LLC","351345","ELECTRIC","Fixed","Yes",".12 kWh","Yes","12 Month(s)","Yes","100.00","02/10/2022 01:52:41 PM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Brown's Energy Services, LLC","351346","ELECTRIC","Variable","Yes",".1 kWh","Yes","1 Month(s)","No","null","02/10/2022 01:52:47 PM","null","null","NO","0.5","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351204","ELECTRIC","Fixed","Yes",".0914 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:10:42 PM","null","Pricing for Zones B, C, D, E and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351205","ELECTRIC","Fixed","Yes",".0893 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:10:55 PM","null","Pricing for Zone B, C, D, E and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351206","ELECTRIC","Fixed","Yes",".0879 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:11:10 PM","null","Pricing for Zone B, C, D, E and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351207","ELECTRIC","Fixed","Yes",".0867 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:11:28 PM","null","Pricing for Zone B, C, D, E and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351248","ELECTRIC","Fixed","Yes",".0849 kWh","Yes","12 Month(s)","No","null","02/09/2022 03:21:49 PM","null","Pricing for Zone B, C, D, E, and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351249","ELECTRIC","Fixed","Yes",".0828 kWh","Yes","18 Month(s)","No","null","02/09/2022 03:22:02 PM","null","Pricing for Zone B, C, D, E, and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351250","ELECTRIC","Fixed","Yes",".0814 kWh","Yes","24 Month(s)","No","null","02/09/2022 03:22:13 PM","null","Pricing for Zone B, C, D, E, and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","City Power & Gas, LLC","351251","ELECTRIC","Fixed","Yes",".0802 kWh","Yes","30 Month(s)","No","null","02/09/2022 03:22:25 PM","null","Pricing for Zone B, C, D, E, and G","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Clearview Energy","350880","ELECTRIC","Variable","Yes",".1119 kWh","Yes","1 Month(s)","No","null","02/04/2022 01:19:48 PM","null","GreenValue Assurance6:
A 100% green product that&#39;s great for you and the environment.
Variable Month to Month contract with a promotional rate that will not increase for the 6-month term of the promotion.
For more details on this product, contact 1800-746-4702","NO","1","Hydroelectric","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Direct Energy Services, LLC","349011","ELECTRIC","Variable","Yes",".1199 kWh","Yes","1 Month(s)","No","null","01/06/2022 02:21:31 AM","null","null","NO","1","Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Eligo Energy NY, LLC","349871","ELECTRIC","Variable","Yes",".186 kWh","Yes","1 Month(s)","No","null","01/17/2022 11:12:46 AM","null","100% renewable","NO","1","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Family Energy, Inc. d/b/a MYRATE ENERGY","349856","ELECTRIC","Fixed","Yes",".1119 kWh","Yes","60 Month(s)","Yes","An early cancellation fee of $100 for any Agreement(s) with a remaining Term of less than twelve (12) months or $200 for any Agreement with a remaining
Term of more than twelve (12) months will apply if the Agreement(s) is terminated prior to the end of the Term.","01/17/2022 09:09:29 AM","null","Renewable Energy Credits that is at least 50% greater than the applicable Tier 1 Load Serving Entity obligation under the Renewable Energy Standard for any given year. More information at www.nyserda.ny.gov. You may pay a daily customer charge of 25 cents, including commodity related charges.","NO","0.54","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Green Mountain Energy Company","349564","ELECTRIC","Variable","Yes",".13 kWh","Yes","1 Month(s)","No","null","01/13/2022 03:37:04 PM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Green Mountain Energy Company","351155","ELECTRIC","Variable","Yes",".13 kWh","Yes","1 Month(s)","No","null","02/09/2022 11:29:28 AM","null","Sign up for the Green Mountain Energy Pollution Free Plan. 
50% New York Renewable, 50% National Wind","NO","1","Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Green Mountain Energy Company","351156","ELECTRIC","Variable","Yes",".13 kWh","Yes","1 Month(s)","No","null","02/09/2022 11:30:30 AM","null","Sign up for the Green Mountain Energy SolarSPARC 10% Plan. 
50% NY Renewable, 10% National Solar, 40% National Wind","NO","1","Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Greenlight Energy Inc.","350516","ELECTRIC","Fixed","Yes",".09 kWh","Yes","12 Month(s)","Yes","Up to $100","02/01/2022 11:12:04 AM","null","NY sited renewables","NO","0.5","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Greenlight Energy Inc.","350517","ELECTRIC","Variable","Yes",".087 kWh","Yes","1 Month(s)","No","null","02/01/2022 11:12:22 AM","null","null","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","IDT Energy, Inc.","350849","ELECTRIC","Variable","Yes",".1417 kWh","Yes","1 Month(s)","No","null","02/03/2022 08:13:20 PM","null","IDTEs Premium Renewable Energy Product, is a 100% renewably sourced product. IDTE may satisfy its renewability commitments by purchasing and retiring Renewable Energy Credits or &quot;RECs&quot; to match your electricity usage. Lock in this price for your first month. Go to www.idtenergy.com.","NO","1","Hydroelectric","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Inspire Energy Holdings, LLC","349204","ELECTRIC","Variable","Yes",".0849 kWh","Yes","1 Month(s)","No","null","01/11/2022 12:59:00 PM","null","Monthly Evergreen Plan - A Month-to-Month per kWh price for access to renewable energy with a 12-Month Introductory Price.
","NO","1","Hydroelectric,Solar,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Kiwi Energy NY, LLC.","349796","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","01/15/2022 09:07:15 AM","null","Kiwi Green 100 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 100% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors","NO","1","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Kiwi Energy NY, LLC.","349800","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","01/15/2022 09:10:12 AM","null","Kiwi Guard - Home Protect is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service) + Surge Protection of up to $500 per year. See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Kiwi Energy NY, LLC.","349807","ELECTRIC","Variable","Yes",".2099 kWh","Yes","36 Month(s)","No","null","01/15/2022 09:11:23 AM","null","Kiwi Green 50 is a monthly variable rate product for 36 months. No cancellation fees. No guaranteed savings. Usage matched with renewable attributes that are at least 50% greater than what is required of Kiwi to meet its renewable purchase obligations. Rate varies monthly based on numerous factors.","NO","0.5","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Kiwi Energy NY, LLC.","349821","ELECTRIC","Variable","Yes",".2099 kWh","No","36 Month(s)","No","null","01/15/2022 09:13:43 AM","null","Kiwi Guard is a month-to-month variable rate product for 36 months, with no cancellation fees, and no guaranteed savings. Includes HVAC coverage up to $750 per year (deductible due at time of service). See Terms &amp; Conditions for more details.","NO","0","null","YES","YES",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Major Energy Electric Services, LLC","351102","ELECTRIC","Fixed","Yes",".1179 kWh","Yes","12 Month(s)","No","null","02/08/2022 11:59:28 AM","null","New York Green 12","NO","1","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Major Energy Electric Services, LLC","351103","ELECTRIC","Fixed","Yes",".1119 kWh","Yes","24 Month(s)","No","null","02/08/2022 11:59:46 AM","null","New York Green 24","NO","1","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","Major Energy Electric Services, LLC","351104","ELECTRIC","Fixed","Yes",".1099 kWh","Yes","36 Month(s)","No","null","02/08/2022 12:00:09 PM","null","New York Green 36","NO","1","Hydroelectric,Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","NRG Home, NRG Business and NRG Retail Solutions","351176","ELECTRIC","Variable","Yes",".105 kWh","Yes","1 Month(s)","No","null","02/09/2022 12:36:24 PM","null","Our NY Renewable Electricity Plan  provides 50% NY Green. Visit www.picknrg.com

","NO","0.5","Wind","YES","NO",
"Niagara Mohawk Power Corporation","NGRID in All Zones","New Wave Energy Corp.","350336","ELECTRIC","Variable","Yes",".075 kWh","Yes","12 Month(s)","Yes","$99","01/27/2022 03:01:12 PM","null","Enroll online at https://nwecenroll.rep.energy/apps/ny-enrollment or by calling us at 1-855-998-WAVE.","NO","0.55","Fuel Cells,Hydroelectric,Liquid Biofuel,Solar,Tidal - Ocean,Wind","YES","NO",
